Operator,Test Command,Benchmark Command
fft_fftfreq,python -m pytest tests/test_special_ops.py -m fft_fftfreq -vs,python -m pytest benchmark/test_special_perf.py -m fft_fftfreq -vs
fft_fftshift,python -m pytest tests/test_special_ops.py -m fft_fftshift -vs,python -m pytest benchmark/test_unary_pointwise_perf.py -m fft_fftshift -vs
fft_hfft,python -m pytest tests/test_special_ops.py -m fft_hfft -vs,N/A - operator not registered to avoid dispatcher recursion
fft_hfft2,python -m pytest tests/test_special_ops.py -m fft_hfft2 -vs,python -m pytest benchmark/test_special_perf.py -m fft_hfft2 -vs
fft_hfftn,python -m pytest tests/test_special_ops.py -m fft_hfftn -vs,python -m pytest benchmark/test_special_perf.py -m fft_hfftn -vs
fft_ifft,python -m pytest tests/test_special_ops.py -m fft_ifft -vs,python -c "..." (manual benchmark)
fft_ifft2,python -m pytest tests/test_special_ops.py -m fft_ifft2 -vs,python -m pytest benchmark/test_special_perf.py -m fft_ifft2 -vs
fft_ifftn,python -m pytest tests/test_special_ops.py -m fft_ifftn -vs && python -m pytest tests/test_special_ops.py -m fft_fftn -vs,python -m pytest benchmark/test_special_perf.py -m fft_ifftn -vs && python -m pytest benchmark/test_special_perf.py -m fft_fftn -vs
fft_ifftshift,python -m pytest tests/test_unary_pointwise_ops.py -m fft_ifftshift -vs,python -m pytest benchmark/test_unary_pointwise_perf.py -m fft_ifftshift -vs
fft_ihfft,python -m pytest tests/test_special_ops.py -m fft_ihfft -vs,python -m pytest benchmark/test_special_perf.py -m fft_ihfft -vs
fft_ihfft2,python -m pytest tests/test_special_ops.py -m fft_ihfft2 -vs,python -m pytest benchmark/test_special_perf.py -m fft_ihfft2 -vs
fft_ihfftn,python -m pytest tests/test_special_ops.py -m fft_ihfftn -vs,python -m pytest benchmark/test_special_perf.py -m fft_ihfftn -vs
fft_irfft,python -m pytest tests/test_special_ops.py -m fft_irfft -vs,python benchmark/fft_irfft_simple.py
fft_irfft2,python -m pytest tests/test_special_ops.py -m fft_irfft2 -vs,python -m pytest benchmark/test_special_perf.py -m fft_irfft2 -vs
fft_irfftn,python -m pytest tests/test_special_ops.py -m fft_irfftn -vs,python -m pytest benchmark/test_special_perf.py -m fft_irfftn -vs
fft_rfft2,python -m pytest tests/test_special_ops.py -m fft_rfft2 -vs,python -m pytest benchmark/test_special_perf.py -m fft_rfft2 -vs
fft_rfftfreq,python -m pytest tests/test_special_ops.py -m fft_rfftfreq -vs,python -m pytest benchmark/test_special_perf.py -m fft_rfftfreq -vs
fft_rfftn,python -m pytest tests/test_special_ops.py -m fft_rfftn -vs,python -m pytest benchmark/test_special_perf.py -m fft_rfftn -vs
flip,CUDA_VISIBLE_DEVICES=4 /usr/bin/python3 -m pytest tests/test_unary_pointwise_ops.py -m flip -vs --log-cli-level=DEBUG,CUDA_VISIBLE_DEVICES=4 /usr/bin/python3 -m pytest benchmark/test_generic_pointwise_perf.py -m flip -vs
float_power_,python -m pytest tests/test_binary_pointwise_ops.py -m float_power_ -vs,python -m pytest benchmark/test_binary_pointwise_perf.py -m float_power_ -vs
fmax,python -m pytest tests/test_binary_pointwise_ops.py -m fmax -vs,python -m pytest benchmark/test_binary_pointwise_perf.py -m fmax -vs
fmod_,python -m pytest tests/test_binary_pointwise_ops.py -m fmod_ -vs,python -m pytest benchmark/test_binary_pointwise_perf.py -m fmod -vs
frac_,python -m pytest tests/test_unary_pointwise_ops.py -m 'frac or frac_' -vs,python -m pytest benchmark/test_unary_pointwise_perf.py -m 'frac or frac_' -vs
fractional_max_pool2d,python -m pytest tests/test_reduction_ops.py -m fractional_max_pool2d -vs,python -m pytest benchmark/test_reduction_perf.py -m fractional_max_pool2d -vs
frexp,python -m pytest tests/test_unary_pointwise_ops.py -m frexp -vs,python -m pytest benchmark/test_unary_pointwise_perf.py -m frexp -vs
full,python -m pytest tests/test_tensor_constructor_ops.py -m full -vs,python -m pytest benchmark/test_tensor_constructor_perf.py -m full -vs
full_like,python -m pytest tests/test_tensor_constructor_ops.py -m full_like -vs,python -m pytest benchmark/test_tensor_constructor_perf.py -m full_like -vs
gcd,python -m pytest tests/test_binary_pointwise_ops.py -m gcd -vs,python -m pytest benchmark/test_binary_pointwise_perf.py -m gcd -vs
gcd_,python -m pytest tests/test_binary_pointwise_ops.py -m 'gcd or gcd_' -vs,python -m pytest benchmark/test_binary_pointwise_perf.py -m gcd -vs
geometric,python -m pytest tests/test_distribution_ops.py -m geometric -vs,python -m pytest benchmark/test_distribution_perf.py -m geometric -vs
geometric_,CUDA_VISIBLE_DEVICES=2 /usr/bin/python3 -m pytest tests/test_distribution_ops.py -m geometric_ -vs --log-cli-level=DEBUG,CUDA_VISIBLE_DEVICES=2 /usr/bin/python3 -m pytest benchmark/test_distribution_perf.py -m geometric_ -vs
greater_equal,python -m pytest tests/test_binary_pointwise_ops.py -m ge -vs,python -m pytest benchmark/test_binary_pointwise_perf.py -m ge -vs
grid_sampler_2d,python -m pytest tests/test_special_ops.py -m grid_sampler_2d -vs,python -m pytest benchmark/test_special_perf.py -m grid_sampler_2d -vs
grid_sampler_2d_backward,python -m pytest tests/test_special_ops.py -m grid_sampler_2d_backward -vs,python -m pytest benchmark/test_special_perf.py -m grid_sampler_2d_backward -vs
grid_sampler_3d,python -m pytest tests/test_special_ops.py -m grid_sampler_3d -vs,python -m pytest benchmark/test_special_perf.py -m grid_sampler_3d -vs
grid_sampler_3d_backward,python -m pytest tests/test_special_ops.py -m grid_sampler_3d_backward -vs,python -m pytest benchmark/test_special_perf.py -m grid_sampler_3d_backward -vs
gru,python -m pytest tests/test_special_ops.py -m gru -vs,python -m pytest benchmark/test_special_perf.py -m gru -vs
gt_,python -m pytest tests/test_binary_pointwise_ops.py -m gt_ -vs,python -m pytest benchmark/test_binary_pointwise_perf.py -m gt_ -vs
histc,python -m pytest tests/test_special_ops.py -m histc -vs,python -m pytest benchmark/test_special_perf.py -m histc -vs
hstack,python -m pytest tests/test_special_ops.py -m hstack -vs,python -m pytest benchmark/test_tensor_concat_perf.py -m hstack -vs
huber_loss_backward,python -m pytest tests/test_special_ops.py -m huber_loss_backward -vs,python -m pytest benchmark/test_special_perf.py -m huber_loss_backward -vs
igamma,python -m pytest tests/test_binary_pointwise_ops.py -m igamma -vs,python -m pytest benchmark/test_binary_pointwise_perf.py -m igamma -vs
igamma_,python -m pytest tests/test_binary_pointwise_ops.py -m igamma_ -vs,python -m pytest benchmark/test_binary_pointwise_perf.py -m igamma_ -vs
igammac,python -m pytest tests/test_binary_pointwise_ops.py -m igammac -vs,python -m pytest benchmark/test_binary_pointwise_perf.py -m igammac -vs
igammac_,python -m pytest tests/test_binary_pointwise_ops.py -m igammac -vs && python -m pytest tests/test_binary_pointwise_ops.py -m igammac_ -vs,python -m pytest benchmark/test_binary_pointwise_perf.py -m igammac -vs
im2col,python -m pytest tests/test_special_ops.py -m im2col -vs --log-cli-level=DEBUG,python -m pytest benchmark/test_special_perf.py -m im2col -vs
imag,python -m pytest tests/test_unary_pointwise_ops.py -m imag -vs,python -m pytest benchmark/test_unary_pointwise_perf.py -m imag -vs
index_copy,python -m pytest tests/test_reduction_ops.py -m index_copy -vs,python -m pytest benchmark/test_select_and_slice_perf.py -m index_copy -vs
index_copy_,python -m pytest tests/test_reduction_ops.py -m index_copy or index_copy_ -vs,python -m pytest benchmark/test_select_and_slice_perf.py -m index_copy or index_copy_ -vs
index_fill,python -m pytest tests/test_reduction_ops.py -m index_fill -vs,python -m pytest benchmark/test_select_and_slice_perf.py -m index_fill -vs
index_fill_,python -m pytest tests/test_reduction_ops.py -m index_fill_ or index_fill -vs,python -m pytest benchmark/test_select_and_slice_perf.py -m index_fill_ or index_fill -vs
index_reduce,python -m pytest tests/test_reduction_ops.py -m 'index_reduce or index_reduce_' -v,python -m pytest benchmark/test_select_and_slice_perf.py -m index_reduce -vs
index_reduce_,python -m pytest tests/test_reduction_ops.py -m 'index_reduce or index_reduce_' -q,python -m pytest benchmark/test_select_and_slice_perf.py -m 'index_reduce or index_reduce_' -vs
index_select_backward,python -m pytest tests/test_reduction_ops.py -m index_select_backward -vs,python -m pytest benchmark/test_select_and_slice_perf.py -m index_select_backward -vs
is_coalesced,python -m pytest tests/test_special_ops.py -m is_coalesced -vs,python -m pytest benchmark/test_special_perf.py -m is_coalesced -vs
is_non_overlapping_and_dense,python -m pytest tests/test_special_ops.py -m is_non_overlapping_and_dense -vs,python -m pytest benchmark/test_special_perf.py -m is_non_overlapping_and_dense -vs
is_nonzero,CUDA_VISIBLE_DEVICES=6 /usr/bin/python3 -m pytest tests/test_special_ops.py -m is_nonzero -vs,CUDA_VISIBLE_DEVICES=6 /usr/bin/python3 -m pytest benchmark/test_special_perf.py -m is_nonzero -vs
is_same_size,python -m pytest tests/test_binary_pointwise_ops.py -m is_same_size -vs,python -m pytest benchmark/test_binary_pointwise_perf.py -m is_same_size -vs
is_strides_like_format,python -m pytest tests/test_special_ops.py -m is_strides_like_format -vs,manual benchmark - see data below
isposinf,python -m pytest tests/test_unary_pointwise_ops.py -m isposinf -vs,python -m pytest benchmark/test_unary_pointwise_perf.py -m isposinf -vs
istft,python -m pytest tests/test_special_ops.py -m istft -vs,python -m pytest benchmark/test_special_perf.py -m istft -vs
item,python -m pytest tests/test_special_ops.py -m item -vs,python -m pytest benchmark/test_special_perf.py -m item -vs
kthvalue,python -m pytest tests/test_reduction_ops.py -m kthvalue -v,python -m pytest benchmark/test_special_perf.py -m kthvalue -vs
lcm,python -m pytest tests/test_binary_pointwise_ops.py -m lcm -vs,python -m pytest benchmark/test_binary_pointwise_perf.py -m lcm -vs
lcm_,python -m pytest tests/test_binary_pointwise_ops.py -m 'lcm or lcm_' -vs,python -m pytest benchmark/test_binary_pointwise_perf.py -m lcm -vs
less,python -m pytest tests/test_binary_pointwise_ops.py -m less -vs,python -m pytest benchmark/test_binary_pointwise_perf.py -m less -vs
less_equal,python -m pytest tests/test_binary_pointwise_ops.py -m less_equal -vs,python -m pytest benchmark/test_binary_pointwise_perf.py -m less_equal -vs
lgamma,python -m pytest tests/test_unary_pointwise_ops.py -m lgamma -vs,python -m pytest benchmark/test_unary_pointwise_perf.py -m lgamma -vs
lgamma_,python -m pytest tests/test_unary_pointwise_ops.py -m lgamma_ -vs && python -m pytest tests/test_unary_pointwise_ops.py -m lgamma -vs,python -m pytest benchmark/test_unary_pointwise_perf.py -m lgamma_ -vs && python -m pytest benchmark/test_unary_pointwise_perf.py -m lgamma -vs
lift,python -m pytest tests/test_unary_pointwise_ops.py -m "lift or lift_out" -vs,python -m pytest benchmark/test_unary_pointwise_perf.py -m lift -vs
lift_fresh,python -m pytest tests/test_special_ops.py -m lift_fresh -vs,python -m pytest benchmark/test_special_perf.py -m lift_fresh -vs
linalg_cholesky,python -m pytest tests/test_special_ops.py -m cholesky -vs,python -m pytest benchmark/test_special_perf.py -m cholesky -vs
linalg_cholesky_ex,python -m pytest tests/test_special_ops.py -m linalg_cholesky_ex -vs,python -m pytest benchmark/test_special_perf.py -m linalg_cholesky_ex -vs
linalg_cond,python -m pytest tests/test_special_ops.py -m linalg_cond -vs,python -m pytest benchmark/test_special_perf.py -m linalg_cond -vs
linalg_cross,python -m pytest tests/test_blas_ops.py -m linalg_cross -vs,python -m pytest benchmark/test_blas_perf.py -m linalg_cross -vs
linalg_det,python -m pytest tests/test_special_ops.py -m linalg_det -vs,python -m pytest benchmark/test_special_perf.py -m linalg_det -vs
linalg_diagonal,python -m pytest tests/test_special_ops.py -m linalg_diagonal -vs,python -m pytest benchmark/test_special_perf.py -m linalg_diagonal -vs
linalg_eig,python -m pytest tests/test_special_ops.py -m linalg_eig -vs,python -m pytest benchmark/test_special_perf.py -m linalg_eig -vs
linalg_eigh,python -m pytest tests/test_special_ops.py -m linalg_eigh -vs,python -m pytest benchmark/test_special_perf.py -m linalg_eigh -vs
linalg_eigvals,python -m pytest tests/test_special_ops.py -m linalg_eigvals -vs,python -m pytest benchmark/test_special_perf.py -m linalg_eigvals -vs
linalg_eigvalsh,python -m pytest tests/test_special_ops.py -m linalg_eigvalsh -vs,python -m pytest benchmark/test_special_perf.py -m linalg_eigvalsh -vs
linalg_householder_product,python -m pytest tests/test_special_ops.py -m linalg_householder_product -vs,python -m pytest benchmark/test_special_perf.py -m linalg_householder_product -vs
linalg_inv,python -m pytest tests/test_special_ops.py -m linalg_inv -vs,python -m pytest benchmark/test_special_perf.py -m linalg_inv -vs
linalg_inv_ex,python -m pytest tests/test_blas_ops.py -m linalg_inv_ex -vs,python -m pytest benchmark/test_blas_perf.py -m linalg_inv_ex -vs
linalg_ldl_factor,python -m pytest tests/test_special_ops.py -m linalg_ldl_factor -vs,python -m pytest benchmark/test_special_perf.py -m linalg_ldl_factor -vs
linalg_ldl_factor_ex,python -m pytest tests/test_special_ops.py -m linalg_ldl_factor_ex -vs,Manual benchmark (standard pytest benchmark has compatibility issues with tuple-returning functions)
linalg_ldl_solve,python -m pytest tests/test_special_ops.py -m linalg_ldl_solve -vs,python -m pytest benchmark/test_special_perf.py -m linalg_ldl_solve -vs
linalg_lstsq,python -m pytest tests/test_special_ops.py -m linalg_lstsq -vs,python -m pytest benchmark/test_special_perf.py -m linalg_lstsq -vs
linalg_lu,python -m pytest tests/test_special_ops.py -m linalg_lu -vs,python -m pytest benchmark/test_special_perf.py -m linalg_lu -vs
linalg_lu_factor,python -m pytest tests/test_special_ops.py -m linalg_lu_factor -vs,python -m pytest benchmark/test_special_perf.py -m linalg_lu_factor -vs
linalg_lu_factor_ex,python -m pytest tests/test_special_ops.py -m linalg_lu_factor_ex -vs,python -m pytest benchmark/test_special_perf.py -m linalg_lu_factor_ex -vs
linalg_lu_solve,python -m pytest tests/test_blas_ops.py -m linalg_lu_solve -vs,python -m pytest benchmark/test_blas_perf.py -m linalg_lu_solve -vs
linalg_matmul,python -m pytest tests/test_blas_ops.py -m linalg_matmul -vs,python -m pytest benchmark/test_blas_perf.py -m linalg_matmul -vs
linalg_matrix_exp,python -m pytest tests/test_special_ops.py -m linalg_matrix_exp -vs,python -m pytest benchmark/test_special_perf.py -m linalg_matrix_exp -vs
linalg_matrix_norm,python -m pytest tests/test_norm_ops.py -m linalg_matrix_norm -vs,python -m pytest benchmark/test_norm_perf.py -m linalg_matrix_norm -vs
linalg_matrix_power,python -m pytest tests/test_blas_ops.py -m linalg_matrix_power -vs,python -m pytest benchmark/test_blas_perf.py -m linalg_matrix_power -vs
linalg_matrix_rank,python -m pytest tests/test_special_ops.py -m linalg_matrix_rank -vs,python -m pytest benchmark/test_special_perf.py -m linalg_matrix_rank -vs
linalg_multi_dot,python -m pytest tests/test_blas_ops.py -m linalg_multi_dot -vs,python -m pytest benchmark/test_blas_perf.py -m linalg_multi_dot -vs
linalg_norm,python -m pytest tests/test_norm_ops.py -m linalg_norm -vs,python -m pytest benchmark/test_norm_perf.py -m linalg_norm -vs
linalg_pinv,python -m pytest tests/test_special_ops.py -m linalg_pinv -vs,python -m pytest benchmark/test_special_perf.py -m linalg_pinv -vs
linalg_qr,python -m pytest tests/test_special_ops.py -m linalg_qr -vs,python -m pytest benchmark/test_special_perf.py -m linalg_qr -vs
linalg_slogdet,python -m pytest tests/test_special_ops.py -m linalg_slogdet -vs,python -m pytest benchmark/test_special_perf.py -m linalg_slogdet -vs
linalg_solve,python -m pytest tests/test_special_ops.py -m linalg_solve -vs,python -m pytest benchmark/test_blas_perf.py -m linalg_solve -vs
linalg_solve_ex,CUDA_VISIBLE_DEVICES=0 /usr/bin/python3 -m pytest tests/test_special_ops.py -m linalg_solve_ex -vs,CUDA_VISIBLE_DEVICES=0 /usr/bin/python3 -m pytest benchmark/test_special_perf.py -m linalg_solve_ex -vs
linalg_solve_triangular,python -m pytest tests/test_blas_ops.py -m linalg_solve_triangular -vs,Manual benchmark (not part of pytest)
linalg_svd,python -m pytest tests/test_special_ops.py -m linalg_svd -vs,python -m pytest benchmark/test_special_perf.py -m linalg_svd -vs
linalg_svdvals,python -m pytest tests/test_special_ops.py -m linalg_svdvals -vs,python -m pytest benchmark/test_blas_perf.py -m linalg_svdvals -vs
linalg_tensorinv,CUDA_VISIBLE_DEVICES=3 /usr/bin/python3 -m pytest tests/test_special_ops.py -m linalg_tensorinv -vs,CUDA_VISIBLE_DEVICES=3 /usr/bin/python3 -m pytest benchmark/test_special_perf.py -m linalg_tensorinv -vs
linalg_tensorsolve,python -m pytest tests/test_special_ops.py -m linalg_tensorsolve -vs,python -m pytest benchmark/test_special_perf.py -m linalg_tensorsolve -vs
linalg_vander,python -m pytest tests/test_special_ops.py -m linalg_vander -vs,python -m pytest benchmark/test_special_perf.py -m linalg_vander -vs
linalg_vecdot,python -m pytest tests/test_blas_ops.py -m linalg_vecdot -vs,python -m pytest benchmark/test_blas_perf.py -m linalg_vecdot -vs
linear,python -m pytest tests/test_blas_ops.py -m linear -vs,python -m pytest benchmark/test_blas_perf.py -m linear -vs
linear_backward,CUDA_VISIBLE_DEVICES=2 python -m pytest tests/test_blas_ops.py -m linear_backward -vs,CUDA_VISIBLE_DEVICES=2 python -m pytest benchmark/test_special_perf.py -m linear_backward -vs
log10,python -m pytest tests/test_unary_pointwise_ops.py -m log10 -vs,python -m pytest benchmark/test_unary_pointwise_perf.py -m log10 -vs
log10_,python -m pytest tests/test_unary_pointwise_ops.py -m log10_ -vs --log-cli-level=DEBUG,python -m pytest benchmark/test_unary_pointwise_perf.py -m log10_ -vs
log2,python -m pytest tests/test_unary_pointwise_ops.py -m log2 -vs,python -m pytest benchmark/test_unary_pointwise_perf.py -m log2 -vs
log_normal,python -m pytest tests/test_distribution_ops.py -m 'log_normal or log_normal_' -vs,python -m pytest benchmark/test_distribution_perf.py -m 'log_normal or log_normal_' -vs
log_normal_,python -m pytest tests/test_distribution_ops.py -m log_normal_ -vs,python -m pytest benchmark/test_distribution_perf.py -m log_normal_ -vs
log_sigmoid_backward,python -m pytest tests/test_binary_pointwise_ops.py -m log_sigmoid_backward -vs,python -m pytest benchmark/test_special_perf.py -m log_sigmoid_backward -vs
log_sigmoid_forward,python -m pytest tests/test_unary_pointwise_ops.py -m log_sigmoid_forward -vs,python -m pytest benchmark/test_unary_pointwise_perf.py -m log_sigmoid_forward -vs
logcumsumexp,python -m pytest tests/test_reduction_ops.py -m logcumsumexp -vs,python -m pytest benchmark/test_reduction_perf.py::test_generic_reduction_benchmark -m logcumsumexp -vs
logical_and,CUDA_VISIBLE_DEVICES=3 python -m pytest tests/test_binary_pointwise_ops.py -m logical_and -vs --log-cli-level=DEBUG,CUDA_VISIBLE_DEVICES=3 python -m pytest benchmark/test_binary_pointwise_perf.py -m logical_and -vs
logical_not_,python -m pytest tests/test_unary_pointwise_ops.py -m 'logical_not or logical_not_' -vs,python -m pytest benchmark/test_unary_pointwise_perf.py -m 'logical_not or logical_not_' -vs
logical_or,python -m pytest tests/test_binary_pointwise_ops.py -m logical_or -vs --log-cli-level=DEBUG,python -m pytest benchmark/test_binary_pointwise_perf.py -m logical_or -vs
logical_or_,CUDA_VISIBLE_DEVICES=7 /usr/bin/python3 -m pytest tests/test_binary_pointwise_ops.py -m 'logical_or or logical_or_' -vs --log-cli-level=DEBUG,CUDA_VISIBLE_DEVICES=7 /usr/bin/python3 -m pytest benchmark/test_binary_pointwise_perf.py -m 'logical_or or logical_or_' -vs
logical_xor,python -m pytest tests/test_binary_pointwise_ops.py -m logical_xor -vs,python -m pytest benchmark/test_binary_pointwise_perf.py -m logical_xor -vs
logit_backward,python -m pytest tests/test_unary_pointwise_ops.py -m logit_backward -vs,python -m pytest benchmark/test_unary_pointwise_perf.py -m logit_backward -vs
lstm,python -m pytest tests/test_special_ops.py -m lstm -vs,python -m pytest benchmark/test_special_perf.py -m lstm -vs
lt,python -m pytest tests/test_binary_pointwise_ops.py -m lt -vs,python -m pytest benchmark/test_binary_pointwise_perf.py -m lt -vs
lu_unpack,python -m pytest tests/test_special_ops.py -m lu_unpack -vs,python -m pytest benchmark/test_special_perf.py -m lu_unpack -vs
masked_fill,python -m pytest tests/test_binary_pointwise_ops.py -m masked_fill -vs,python -m pytest benchmark/test_tensor_constructor_perf.py -m masked_fill -vs
masked_scatter_,python -m pytest tests/test_reduction_ops.py -m masked_scatter_ -vs,python -m pytest benchmark/test_select_and_slice_perf.py -m masked_scatter_ -vs
masked_scatter_backward,python -m pytest tests/test_special_ops.py -m masked_scatter_backward -vs,python -m pytest benchmark/test_special_perf.py -m masked_scatter_backward -vs
matmul,CUDA_VISIBLE_DEVICES=6 python -m pytest tests/test_blas_ops.py -k matmul -vs,CUDA_VISIBLE_DEVICES=6 python -m pytest benchmark/test_blas_perf.py -m matmul -vs
max_pool3d_with_indices,python -m pytest tests/test_reduction_ops.py -m 'max_pool3d or max_pool3d_backward' -vs,python -m pytest benchmark/test_reduction_perf.py -m max_pool3d -vs
max_pool3d_with_indices_backward,python -m pytest tests/test_reduction_ops.py -m max_pool3d_with_indices_backward -vs --log-cli-level=DEBUG,python -m pytest benchmark/test_reduction_perf.py -m max_pool3d_with_indices_backward -vs
max_unpool2d,python -m pytest tests/test_special_ops.py -m max_unpool2d -vs,python -m pytest benchmark/test_special_perf.py -m max_unpool2d -vs
max_unpool3d,python -m pytest tests/test_special_ops.py -m max_unpool3d -vs,python -m pytest benchmark/test_special_perf.py -m max_unpool3d -vs
median,python -m pytest tests/test_reduction_ops.py -m median -vs,python -m pytest benchmark/test_reduction_perf.py -m median -vs
meshgrid,python -m pytest tests/test_special_ops.py -m meshgrid -vs,python -m pytest benchmark/test_special_perf.py -m meshgrid -vs
miopen_batch_norm,python -m pytest tests/test_norm_ops.py -m miopen_batch_norm -vs,python -m pytest benchmark/test_norm_perf.py -m miopen_batch_norm -vs
miopen_batch_norm_backward,python -m pytest tests/test_norm_ops.py -m miopen_batch_norm_backward -vs,python -m pytest benchmark/test_norm_perf.py -m miopen_batch_norm_backward -vs
mish_,python -m pytest tests/test_unary_pointwise_ops.py -m 'mish or mish_' -vs,python -m pytest benchmark/test_unary_pointwise_perf.py -m mish -vs
mkldnn_rnn_layer,python -m pytest tests/test_special_ops.py -m mkldnn_rnn_layer -vs,N/A - complex RNN operator without standard benchmark pattern
mkldnn_rnn_layer_backward,python -m pytest tests/test_special_ops.py -m mkldnn_rnn_layer_backward -vs,python -m pytest benchmark/test_special_perf.py -m mkldnn_rnn_layer_backward -vs
mode,python -m pytest tests/test_reduction_ops.py -m mode -vs,python -m pytest benchmark/test_reduction_perf.py -m mode -vs
moe_combine,python -m pytest tests/test_special_ops.py -m moe_combine -vs,python -m pytest benchmark/test_special_perf.py -m moe_combine -vs
mse_loss_backward,python -m pytest tests/test_reduction_ops.py -m mse_loss_backward -vs,python -m pytest benchmark/test_reduction_perf.py -m mse_loss_backward -vs
multi_margin_loss,python -m pytest tests/test_reduction_ops.py -m multi_margin_loss -vs,python -m pytest benchmark/test_reduction_perf.py -m multi_margin_loss -vs
multilabel_margin_loss_forward,python -m pytest tests/test_special_ops.py -m multilabel_margin_loss_forward -vs,python -m pytest benchmark/test_special_perf.py -m multilabel_margin_loss_forward -vs
multiply_,python -m pytest tests/test_binary_pointwise_ops.py -m multiply_ -vs,python -m pytest benchmark/test_binary_pointwise_perf.py -m multiply_ -vs
mvlgamma_,python -m pytest tests/test_unary_pointwise_ops.py -m mvlgamma_ -vs,python -m pytest benchmark/test_unary_pointwise_perf.py -m mvlgamma_ -vs
nan_to_num,python -m pytest tests/test_binary_pointwise_ops.py -m nan_to_num -vs,python -m pytest benchmark/test_generic_pointwise_perf.py -m nan_to_num -vs
nan_to_num_,python -m pytest tests/test_unary_pointwise_ops.py -m nan_to_num -vs,python -m pytest benchmark/test_unary_pointwise_perf.py -m nan_to_num_ -vs
nanmedian,python -m pytest tests/test_reduction_ops.py -m nanmedian -vs,python -m pytest benchmark/test_reduction_perf.py::test_nanmedian_perf -vs
nansum,python -m pytest tests/test_general_reduction_ops.py -m nansum -vs,python -m pytest benchmark/test_reduction_perf.py -m nansum -vs
narrow_copy,python -m pytest tests/test_special_ops.py -m narrow_copy -vs,python -m pytest benchmark/test_select_and_slice_perf.py -m narrow_copy -vs
native_dropout_backward,python -m pytest tests/test_special_ops.py -m native_dropout_backward -vs --log-cli-level=DEBUG,python -m pytest benchmark/test_special_perf.py -m native_dropout_backward -vs
ne,python -m pytest tests/test_binary_pointwise_ops.py -m ne -vs,python -m pytest benchmark/test_binary_pointwise_perf.py -m ne -vs
new_empty,python -m pytest tests/test_tensor_constructor_ops.py -m new_empty -vs,python -m pytest benchmark/test_tensor_constructor_perf.py -m new_empty -vs
new_ones,python -m pytest tests/test_tensor_constructor_ops.py -m new_ones -vs,python -m pytest benchmark/test_tensor_constructor_perf.py -m new_ones -vs
nextafter,python -m pytest tests/test_binary_pointwise_ops.py -m nextafter -vs,python -m pytest benchmark/test_binary_pointwise_perf.py -m nextafter -vs
nextafter_,python -m pytest tests/test_binary_pointwise_ops.py -m nextafter_ -vs,python -m pytest benchmark/test_binary_pointwise_perf.py -m nextafter -vs
nll_loss_nd,CUDA_VISIBLE_DEVICES=0 /usr/bin/python3 -m pytest tests/test_reduction_ops.py -m nll_loss_nd -vs --log-cli-level=DEBUG,CUDA_VISIBLE_DEVICES=0 /usr/bin/python3 -m pytest benchmark/test_reduction_perf.py -m nll_loss_nd -vs
nonzero,python -m pytest tests/test_reduction_ops.py -m nonzero -vs,python -m pytest benchmark/test_reduction_perf.py -m nonzero -vs
nonzero_numpy,python -m pytest tests/test_special_ops.py -m nonzero_numpy -vs,python -m pytest benchmark/test_special_perf.py -m nonzero_numpy -vs
nonzero_static,python -m pytest tests/test_reduction_ops.py -m nonzero_static -vs,python -m pytest benchmark/test_reduction_perf.py -m nonzero_static -vs
norm,python -m pytest tests/test_norm_ops.py -m norm -vs,python -m pytest benchmark/test_norm_perf.py -m norm -vs
normal_,python -m pytest tests/test_distribution_ops.py -m normal_ -vs,python -m pytest benchmark/test_distribution_perf.py -m normal_ -vs
not_equal,python -m pytest tests/test_binary_pointwise_ops.py -m not_equal -vs,python -m pytest benchmark/test_binary_pointwise_perf.py -m not_equal -vs
one_hot,python -m pytest tests/test_tensor_constructor_ops.py -m one_hot -vs,python -m pytest benchmark/test_tensor_constructor_perf.py -m one_hot -vs
ormqr,python -m pytest tests/test_blas_ops.py -m ormqr -vs,python -m pytest benchmark/test_special_perf.py -m ormqr -vs
pad_sequence,python -m pytest tests/test_special_ops.py -m pad_sequence -vs,python -m pytest benchmark/test_special_perf.py -m pad_sequence -vs
page_attention,python -m pytest tests/test_attention_ops.py -m page_attention -vs,python -m pytest benchmark/test_attention_perf.py -m page_attention -vs
pairwise_distance,python -m pytest tests/test_special_ops.py -m pairwise_distance -vs,python -m pytest benchmark/test_special_perf.py -m pairwise_distance -vs
pdist,python -m pytest tests/test_special_ops.py -m pdist -vs,python -m pytest benchmark/test_special_perf.py -m pdist -vs
permute,python -m pytest tests/test_special_ops.py -m permute -vs,python -m pytest benchmark/test_special_perf.py -m permute -vs
permute_copy,python -m pytest tests/test_special_ops.py -m permute_copy -vs,python -m pytest benchmark/test_special_perf.py -m permute_copy -vs
pin_memory,python -m pytest tests/test_special_ops.py -m pin_memory -vs,python -m pytest benchmark/test_special_perf.py -m pin_memory -vs
poisson,python -m pytest tests/test_special_ops.py -m poisson -vs,python -m pytest benchmark/test_special_perf.py -m poisson -vs
polygamma,python -m pytest tests/test_unary_pointwise_ops.py -m polygamma -vs,python -m pytest benchmark/test_unary_pointwise_perf.py -m polygamma -vs
positive,python -m pytest tests/test_unary_pointwise_ops.py -m positive -vs,python -m pytest benchmark/test_unary_pointwise_perf.py -m positive -vs
