Operator,Test Command,Benchmark Command
ReduceProd,CUDA_VISIBLE_DEVICES=0 /usr/bin/python3 -m pytest tests/test_general_reduction_ops.py -m prod -vs --log-cli-level=DEBUG,CUDA_VISIBLE_DEVICES=0 /usr/bin/python3 -m pytest benchmark/test_reduction_perf.py -m prod -vs
ReduceSum,CUDA_VISIBLE_DEVICES=5 python -m pytest tests/test_general_reduction_ops.py -m ReduceSum -vs,CUDA_VISIBLE_DEVICES=5 python -m pytest benchmark/test_reduction_perf.py -m ReduceSum -vs
ReduceVariance,python -m pytest tests/test_reduction_ops.py -m ReduceVariance -vs,python -m pytest benchmark/test_reduction_perf.py -m ReduceVariance -vs
Reshape,python -m pytest tests/test_unary_pointwise_ops.py -m reshape -vs,python -m pytest benchmark/test_unary_pointwise_perf.py -m reshape -vs
Scaled_dot_product_attention_backward,python -m pytest benchmark/test_attention_perf.py::test_perf_scaled_dot_product_attention -vs,python -m pytest benchmark/test_attention_perf.py::test_perf_scaled_dot_product_attention -vs
ScatterND,python -m pytest tests/test_special_ops.py -m ScatterND -vs,python -m pytest benchmark/test_special_perf.py -m ScatterND -vs
shape,python -m pytest tests/test_special_ops.py -m shape -vs,python -m pytest benchmark/test_special_perf.py -m shape -vs
Silu_backward,python -m pytest tests/test_unary_pointwise_ops.py -m silu_backward -vs,python -m pytest benchmark/test_unary_pointwise_perf.py -k 'silu and backward' -vs
Slice,python -m pytest tests/test_special_ops.py -m Slice -vs,python -m pytest benchmark/test_special_perf.py -m slice -vs
Sliding_Window_Attention,python -m pytest tests/test_special_ops.py -m Sliding_Window_Attention -vs,python -m pytest benchmark/test_special_perf.py -m Sliding_Window_Attention -vs
Split,python -m pytest tests/test_special_ops.py -m split -vs,python -m pytest benchmark/test_special_perf.py -m split -vs
Squeeze,python -m pytest tests/test_special_ops.py -m squeeze -vs,python -m pytest benchmark/test_unary_pointwise_perf.py -m squeeze -vs
Swin_Transformer_Attention,CUDA_VISIBLE_DEVICES=2 python -m pytest tests/test_special_ops.py -m Swin_Transformer_Attention -vs,CUDA_VISIBLE_DEVICES=2 python -m pytest benchmark/test_special_perf.py -m Swin_Transformer_Attention -vs
Swish,python -m pytest tests/test_unary_pointwise_ops.py -m swish -vs --log-cli-level=DEBUG,python -m pytest benchmark/test_unary_pointwise_perf.py -m swish -vs
Top_K_Sampling,python -m pytest tests/test_special_ops.py -m Top_K_Sampling -vs --log-cli-level=DEBUG,python -m pytest benchmark/test_special_perf.py -m Top_K_Sampling -vs
Top_P_Sampling,python -m pytest tests/test_special_ops.py -m top_p_sampling -vs,python -m pytest benchmark/test_special_perf.py -m top_p_sampling -vs
__and__,python -m pytest tests/test_binary_pointwise_ops.py -m and_op -vs,python -m pytest benchmark/test_binary_pointwise_perf.py -m and_op -vs
__iand__,python -m pytest tests/test_binary_pointwise_ops.py -m iand -vs,python -m pytest benchmark/test_binary_pointwise_perf.py -m iand -vs
__ilshift__,python -m pytest tests/test_unary_pointwise_ops.py -m ilshift -vs,python -m pytest benchmark/test_binary_pointwise_perf.py -m ilshift -vs
__ior__,python -m pytest tests/test_binary_pointwise_ops.py -m ior -vs,python -m pytest benchmark/test_binary_pointwise_perf.py -m ior -vs
__irshift__,python -m pytest tests/test_unary_pointwise_ops.py -m irshift -vs,python -m pytest benchmark/test_unary_pointwise_perf.py -m irshift -vs
bitwise_xor,python -m pytest tests/test_binary_pointwise_ops.py -m bitwise_xor -vs,python -m pytest benchmark/test_binary_pointwise_perf.py -m bitwise_xor -vs
__lshift__,python -m pytest tests/test_binary_pointwise_ops.py -m lshift -vs,python -m pytest benchmark/test_binary_pointwise_perf.py -m lshift -vs
__xor__,python -m pytest tests/test_binary_pointwise_ops.py -m xor -vs,python -m pytest benchmark/test_binary_pointwise_perf.py -m xor -vs
_adaptive_avg_pool2d,python -m pytest tests/test_reduction_ops.py -m adaptive_avg_pool2d -vs --log-cli-level=DEBUG,python -m pytest benchmark/test_reduction_perf.py -m adaptive_avg_pool2d -vs
_adaptive_avg_pool3d,python -m pytest tests/test_special_ops.py -m adaptive_avg_pool3d -vs,python -m pytest benchmark/test_special_perf.py -m adaptive_avg_pool3d -vs
_adaptive_avg_pool3d_backward,python -m pytest tests/test_special_ops.py -m adaptive_avg_pool3d_backward -vs,python -m pytest benchmark/test_special_perf.py -m adaptive_avg_pool3d_backward -vs
_add_relu,python -m pytest tests/test_binary_pointwise_ops.py -m add_relu -vs --log-cli-level=DEBUG,python -m pytest benchmark/test_binary_pointwise_perf.py -m add_relu -vs
_addmm_activation,python -m pytest tests/test_blas_ops.py -m addmm_activation -vs --log-cli-level=DEBUG,python -m pytest benchmark/test_blas_perf.py -m addmm_activation -vs
_amp_foreach_non_finite_check_and_unscale_,python -m pytest tests/test_special_ops.py -m amp_foreach_non_finite_check_and_unscale -vs,python -m pytest benchmark/test_special_perf.py -m amp_foreach_non_finite_check_and_unscale -vs
_assert_async,python -m pytest tests/test_special_ops.py -m assert_async -vs --log-cli-level=DEBUG,python -m pytest benchmark/test_special_perf.py -m assert_async -vs
_assert_tensor_metadata,python -m pytest tests/test_special_ops.py -m assert_tensor_metadata -vs,python -m pytest benchmark/test_special_perf.py -m assert_tensor_metadata -vs
_batch_norm_no_update,python -m pytest tests/test_norm_ops.py -m batch_norm_no_update -vs,python -m pytest benchmark/test_norm_perf.py -m batch_norm_no_update -vs
_batch_norm_with_update,python -m pytest tests/test_norm_ops.py -m batch_norm_with_update -vs,python -m pytest benchmark/test_norm_perf.py -m batch_norm_with_update -vs
_batch_norm_with_update_functional,python -m pytest tests/test_norm_ops.py -m batch_norm_with_update_functional -vs,python -m pytest benchmark/test_norm_perf.py -m batch_norm_with_update_functional -vs
_cdist_backward,python -m pytest tests/test_special_ops.py -m cdist_backward -vs,python -m pytest benchmark/test_special_perf.py -m cdist_backward -vs
_cdist_forward,python -m pytest tests/test_special_ops.py -m cdist_forward -vs,python -m pytest benchmark/test_special_perf.py -m cdist_forward -vs
_cholesky_solve_helper,python -m pytest tests/test_special_ops.py -m cholesky_solve_helper -vs,Manual benchmark (standard benchmark framework had compatibility issues)
_chunk_cat,python -m pytest tests/test_special_ops.py -m chunk_cat -vs,python -m pytest benchmark/test_special_perf.py -m chunk_cat -vs
_conj,python -m pytest tests/test_special_ops.py -m conj -vs,python -m pytest benchmark/test_special_perf.py -m conj -vs
_conv_depthwise2d,CUDA_VISIBLE_DEVICES=7 /usr/bin/python3 -m pytest tests/test_convolution_ops.py -m depthwise2d -vs --log-cli-level=DEBUG,CUDA_VISIBLE_DEVICES=7 /usr/bin/python3 -m pytest benchmark/test_convolution_perf.py -m depthwise2d -vs
_convert_weight_to_int4pack,python -m pytest tests/test_special_ops.py -m convert_weight_to_int4pack -vs,python -m pytest benchmark/test_special_perf.py -m convert_weight_to_int4pack -vs
_convert_weight_to_int4pack_for_cpu,python -m pytest tests/test_special_ops.py -m convert_weight_to_int4pack_for_cpu -vs --log-cli-level=DEBUG,python -m pytest benchmark/test_special_perf.py -m convert_weight_to_int4pack_for_cpu -vs
_cslt_sparse_mm,python -m pytest tests/test_special_ops.py -m cslt_sparse_mm -vs,python -m pytest benchmark/test_special_perf.py -m cslt_sparse_mm -vs
_cudnn_attention_backward,python -m pytest tests/test_attention_ops.py -m cudnn_attention_backward -vs,python -m pytest benchmark/test_attention_perf.py -m cudnn_attention_backward -vs
_cudnn_attention_forward,python -m pytest tests/test_attention_ops.py -m cudnn_attention_forward -vs,python -m pytest benchmark/test_attention_perf.py -m cudnn_attention_forward -vs
_cudnn_rnn,python -m pytest tests/test_special_ops.py -m cudnn_rnn -vs,N/A - operator not registered to avoid recursion
_cudnn_rnn_backward,python -m pytest tests/test_special_ops.py -m cudnn_rnn_backward -vs --log-cli-level=DEBUG,python -m pytest benchmark/test_special_perf.py -m cudnn_rnn_backward -vs
_dyn_quant_matmul_4bit,python -m pytest tests/test_special_ops.py -m dyn_quant_matmul_4bit -vs,python -m pytest benchmark/test_special_perf.py -m dyn_quant_matmul_4bit -vs
_dyn_quant_pack_4bit_weight,python -m pytest tests/test_special_ops.py -m dyn_quant_pack_4bit_weight -vs,python -m pytest benchmark/test_special_perf.py -m dyn_quant_pack_4bit_weight -vs
_efficient_attention_backward,python -m pytest tests/test_attention_ops.py -m efficient_attention_backward -vs,python -m pytest benchmark/test_attention_perf.py -m efficient_attention_backward -vs
_efficient_attention_forward,python -m pytest tests/test_special_ops.py -m efficient_attention_forward -vs,python -m pytest benchmark/test_special_perf.py -m efficient_attention_forward -vs
_embedding_bag,python -m pytest tests/test_special_ops.py -m embedding_bag -vs,python -m pytest benchmark/test_special_perf.py -m embedding_bag -vs
_embedding_bag_backward,python -m pytest tests/test_special_ops.py -m embedding_bag_backward -vs,python -m pytest benchmark/test_special_perf.py -m embedding_bag_backward -vs
_embedding_bag_dense_backward,python -m pytest tests/test_special_ops.py -m embedding_bag_dense_backward -vs,python -m pytest benchmark/test_special_perf.py -m embedding_bag_dense_backward -vs
_embedding_bag_forward_only,python -m pytest tests/test_special_ops.py -m embedding_bag_forward -vs,python -m pytest benchmark/test_special_perf.py -m embedding_bag_forward -vs
_embedding_bag_per_sample_weights_backward,python -m pytest tests/test_special_ops.py -m embedding_bag_per_sample_weights_backward -vs,python -m pytest benchmark/test_special_perf.py -m embedding_bag_per_sample_weights_backward -vs
_euclidean_dist,python -m pytest tests/test_special_ops.py -m euclidean_dist -vs,python -m pytest benchmark/test_special_perf.py -m euclidean_dist -vs
_fft_c2c,python -m pytest tests/test_special_ops.py -m fft_c2c -vs,python -m pytest benchmark/test_special_perf.py -m fft_c2c -vs
_fft_c2r,python -m pytest tests/test_special_ops.py -m fft_c2r -vs,python -m pytest benchmark/test_special_perf.py -m fft_c2r -vs
_fft_r2c,python -m pytest tests/test_special_ops.py -m fft_r2c -vs,python -m pytest tests/test_special_ops.py -m fft_r2c -vs
_flash_attention_backward,python -m pytest tests/test_special_ops.py -m flash_attention_backward -vs,python -m pytest benchmark/test_special_perf.py -m flash_attention_backward -vs
_functional_assert_async,python -m pytest tests/test_unary_pointwise_ops.py -m functional_assert_async -vs,python -m pytest benchmark/test_special_perf.py -m functional_assert_async -vs
_functional_sym_constrain_range,python -m pytest tests/test_unary_pointwise_ops.py -m functional_sym_constrain_range -vs,python -m pytest benchmark/test_special_perf.py -m functional_sym_constrain_range -vs
_fused_adam,python -m pytest tests/test_special_ops.py -m fused_adam -vs && python -m pytest tests/test_special_ops.py -m fused_adam_ -vs,python -m pytest benchmark/test_special_perf.py -m fused_adam -vs
_fused_adam_,CUDA_VISIBLE_DEVICES=2 /usr/bin/python3 -m pytest tests/test_special_ops.py -m fused_adam -vs,CUDA_VISIBLE_DEVICES=2 /usr/bin/python3 -m pytest benchmark/test_special_perf.py -m fused_adam -vs
_fused_adamw_,python -m pytest tests/test_special_ops.py -m fused_adamw -vs,N/A - benchmark skipped due to API complexity
_fused_dropout,python -m pytest tests/test_special_ops.py -m fused_dropout -vs,python -m pytest benchmark/test_special_perf.py -m fused_dropout -vs
_fused_moving_avg_obs_fq_helper,python -m pytest tests/test_special_ops.py -m fused_moving_avg_obs_fq_helper -vs,python -m pytest benchmark/test_special_perf.py -m fused_moving_avg_obs_fq_helper -vs
_grouped_mm,python -m pytest tests/test_special_ops.py -m grouped_mm -vs,python -m pytest benchmark/test_special_perf.py -m grouped_mm -vs
_int_mm,python -m pytest tests/test_blas_ops.py -m int_mm -vs,python -m pytest benchmark/test_blas_perf.py -m int_mm -vs
_is_all_true,python -m pytest tests/test_general_reduction_ops.py -m is_all_true -vs,python -m pytest benchmark/test_reduction_perf.py -m is_all_true -vs
_jagged_to_padded_dense_forward,python -m pytest tests/test_special_ops.py -m jagged_to_padded_dense_forward -vs,python -m pytest benchmark/test_special_perf.py -m jagged_to_padded_dense_forward -vs
_linalg_det,python -m pytest tests/test_special_ops.py -m linalg_det -vs,python -m pytest benchmark/test_special_perf.py -m linalg_det -vs
_linalg_eigh,python -m pytest tests/test_special_ops.py -m linalg_eigh -vs,python -m pytest benchmark/test_special_perf.py -m linalg_eigh -vs
_linalg_eigvals,python -m pytest tests/test_special_ops.py::test_accuracy_linalg_eigvals -vs,N/A - benchmark removed due to issues
_linalg_slogdet,python -m pytest tests/test_special_ops.py -m linalg_slogdet -vs,python -m pytest benchmark/test_special_perf.py -m linalg_slogdet -vs
_linalg_solve_ex,python -m pytest tests/test_blas_ops.py -m linalg_solve_ex -vs,python -m pytest benchmark/test_blas_perf.py -m linalg_solve_ex -vs
_linalg_svd,python -m pytest tests/test_blas_ops.py -m linalg_svd -vs,python -m pytest benchmark/test_blas_perf.py -m linalg_svd -vs
_list_to_tensor,python -m pytest tests/test_special_ops.py -m list_to_tensor -vs,python -m pytest benchmark/test_special_perf.py -m list_to_tensor -vs
_local_scalar_dense,python -m pytest tests/test_special_ops.py -m local_scalar_dense -vs,python -m pytest benchmark/test_special_perf.py -m local_scalar_dense -vs
_make_dep_token,python -m pytest tests/test_special_ops.py -m make_dep_token -vs,python -m pytest benchmark/test_special_perf.py -m make_dep_token -vs
